"name","type","timePlayed","matches","win","KD","ADR","ACS","HS","KAST"
"Brimstone","Controller","9.3 hrs","15","40.0%","0.86","127.2","187.9","18.9%","72.8%"
"Fade","Initiator","9.2 hrs","18","50.0%","0.95","127.1","191.5","18.4%","72.0%"
"Skye","Initiator","3.9 hrs","7","71.4%","1.01","122.3","187.1","16.1%","65.7%"
"KAY/O","Initiator","3.8 hrs","6","50.0%","0.65","123.9","179.6","18.1%","69.3%"
"Killjoy","Sentinel","3.0 hrs","6","66.7%","0.87","108.9","164.9","13.6%","70.3%"
"Sage","Sentinel","1.7 hrs","4","0.0%","0.79","127.3","185.5","20.9%","60.6%"
"Chamber","Sentinel","1.4 hrs","3","66.7%","0.95","136.9","204.1","19.8%","64.2%"
"Viper","Controller","1.4 hrs","2","50.0%","1.03","117.8","181.2","16.1%","76.5%"
"Jett","Duelist","1.1 hrs","2","0.0%","0.61","107.1","163.4","23.1%","65.1%"
"Raze","Duelist","0.5 hrs","1","100.0%","1.47","174.8","283.6","19.7%","71.4%"
"Sova","Initiator","0.4 hrs","1","0.0%","0.64","142.9","198.6","23.3%","66.7%"
