"name","type","timePlayed","matches","win","KD","ADR","ACS","HS","KAST"
"KAY/O","Initiator","5.8 hrs","10","70.0%","0.95","137.5","208.2","17.8%","73.7%"
"Chamber","Sentinel","5.3 hrs","9","55.6%","1.14","150.1","223.5","19.4%","72.9%"
"Neon","Duelist","3.0 hrs","5","20.0%","0.78","124.9","192.0","17.8%","64.2%"
"Sova","Initiator","2.9 hrs","7","42.9%","0.90","108.1","154.7","17.3%","64.3%"
"Breach","Initiator","2.1 hrs","4","0.0%","0.62","103.5","159.3","16.4%","56.6%"
"Sage","Sentinel","2.0 hrs","4","25.0%","0.83","103.7","169.0","14.9%","68.4%"
"Brimstone","Controller","2.0 hrs","4","75.0%","0.65","89.9","130.9","19.5%","68.9%"
"Jett","Duelist","1.6 hrs","3","100.0%","1.44","159.4","254.7","12.3%","70.5%"
"Raze","Duelist","1.5 hrs","3","33.3%","0.82","138.5","208.6","11.6%","64.3%"
"Phoenix","Duelist","0.5 hrs","1","0.0%","0.71","134.5","185.3","18.4%","60.9%"
"Omen","Controller","0.5 hrs","1","100.0%","2.22","156.5","263.8","17.5%","79.0%"
