"Space Launch Complex 40","Cape Canaveral - FL - USA",865
"Launch Area 4 (SLS-2 / 603)","Jiuquan - People’s Republic of China",179
"Ariane Launch Area 3","Kourou - French Guiana",315
"Launch Pad 3C","Pacific Spaceport Complex - Alaska - USA",8
"Unknown Pad","Jiuquan - People’s Republic of China",179
"Space Launch Complex 4E","Vandenberg SFB - CA - USA",707
"Rocket Lab Launch Complex 2 (Launch Area 0 C)","Wallops Island - Virginia - USA",73
"Space Launch Complex 40","Cape Canaveral - FL - USA",865
"Launch Complex 39A","Kennedy Space Center - FL - USA",212
"Ariane Launch Area 1","Kourou - French Guiana",315
"Space Launch Complex 40","Cape Canaveral - FL - USA",865
"Space Launch Complex 4E","Vandenberg SFB - CA - USA",707
"Space Launch Complex 40","Cape Canaveral - FL - USA",865
"Unknown Pad","Unknown Location",0
"Spaceport Cornwall","Air launch to orbit",50
